IPs,againsts,buildLevels,commentIds,contents,createTimes,favCounts,isDels,is_anonymous,shareCounts,siteNames,sources,user_IDs,user_locations,votes
115.224.*.*,0,1,330839008,这么好的一个女孩的生命终结了。太可悲！<br>对罪犯应该更加严厉打击！也请年轻人，特别是女孩子一定注意自身安全，最好别单独行动。,2018-11-18 10:48:37,0,False,False,0,网易,wb,169070,浙江省绍兴,0
117.136.*.*,0,1,330835890,杀人的人估计都学历不高，没有受到过良好的教育，不会简单的分析孰轻孰重！为了一时之快断送了自己也害了别人！就是打工半月去会所找个模特和搭上命，算不明白？,2018-11-18 10:47:41,0,False,False,0,网易,ph,105803329,山东省德州市,0
221.220.*.*,0,2,330836514,你说的对 什么夜跑 一个人还是小心一点。人家反正多杀一个不怕什么,2018-11-18 10:47:29,0,False,False,0,网易,ph,104802853,北京市东城区,1
117.136.*.*,0,4,330836506,乱世用重典。贪污杀，造假药杀，污染环境杀，强奸杀，食品问题杀，不信治不好,2018-11-18 10:47:27,0,False,True,0,网易,ph,0,安徽省,0
61.170.*.*,0,3,330834399,难道不该狠狠管理一下吗？那种放任流动人口的东郭先生式思维才是当下最应当反思的！！,2018-11-18 10:41:29,0,False,False,0,网易,wb,424664,上海市普陀区,1
112.10.*.*,0,3,330837280,。。。那么直接吗,2018-11-18 10:47:02,0,False,False,0,网易,ph,263047693,浙江省杭州市,2
115.215.*.*,0,9,330838312,不光夜跑，还有很多年轻女子一个人喝的烂醉倒在大街上。然后有专门一群人专门去搞她们的，行话叫捡尸体,2018-11-18 10:46:49,0,False,True,0,网易,wb,0,浙江省宁波,0
223.166.*.*,0,1,330838260,现在光棍太多，很多找不到对象，就开始动歪脑筋,2018-11-18 10:46:32,0,False,False,0,网易,ph,128051444,上海市,1
219.133.*.*,0,1,330838201,人祸……常说的天网呢？！,2018-11-18 10:46:07,0,False,True,0,网易,ph,0,广东省深圳,0
220.152.*.*,0,1,330838188,这个社会千万不要相信都是好人，恶魔在人间。,2018-11-18 10:46:03,0,False,False,0,网易,ph,503278,广东省深圳市,0
39.186.*.*,0,8,330835573,不是无知者无畏，人本能的都会怕黑，怕走小路，知道这不安全。<br>这些人都是被网上那些虚假文章忽悠的。。。,2018-11-18 10:45:40,0,False,True,0,网易,ph,0,浙江省温州市,0
49.80.*.*,0,1,330838112,立刻马上枪毙！,2018-11-18 10:45:38,0,False,False,0,网易,ph,24319574,江苏省无锡市,0
119.87.*.*,0,1,330838103,帮助他人也许就是帮助自己[疲惫],2018-11-18 10:45:36,0,False,True,0,网易,ph,0,重庆市沙坪坝区,0
112.97.*.*,0,3,330835556,你是男的吧？,2018-11-18 10:45:32,0,False,False,0,网易,ph,121015858,广东省深圳,0
36.157.*.*,0,1,330833949,乱世妖怪多,2018-11-18 10:44:30,0,False,False,0,网易,ph,28535199,湖南省永州市,0
117.136.*.*,0,1,330832876,出门带防割服 头盔 再配个电棍就完美了,2018-11-18 10:44:11,0,False,False,0,网易,ph,64457479,北京市海淀区,0
